Ad unit,Estimated earnings (EUR),Impressions,CTR,Average Viewable Time,Active View Viewable,Ad impressions,Ads per impression,CPC (EUR),Coverage,Ad CTR,Impression RPM (EUR),Total impressions,Clicks,Ad requests,Ad RPM (EUR),Funnel clicks,Matched ad RPM (EUR),Matched ad CTR,Matched ad requests,Ad request CTR,Ad request RPM (EUR),Active View Measurable
G-TEAM,0.00,1,0,1.504,1,1,1,,1,0,0.06,1,0,1,0.06,0,0.06,0,1,0,0.06,1
G-CHANNEL,0.00,2,0,3.425,0.5,2,1,,1,0,1.40,2,0,2,1.40,0,1.40,0,2,0,1.40,1
PAGE-TUTORIAL,0.00,2,0,1.233,0.5,2,1,,1,0,0.03,2,0,2,0.03,0,0.03,0,2,0,0.03,1
G-MATCH-EVENTS,0.00,29,0,4.0381,0.2759,29,1,,1,0,0.17,29,0,29,0.17,0,0.17,0,29,0,0.17,1
HOME,0.04,111,0,10.7259,0.2736,111,1,,0.596,0,0.38,111,0,198,0.38,0,0.36,0,118,0,0.21,1
G-CHANNELS,0.01,13,0,3.08,0.1538,13,1,,1,0,0.70,13,0,13,0.70,0,0.70,0,13,0,0.70,1
G-MATCHES,0.01,31,0,2.3845,0.129,31,1,,0.8158,0,0.46,31,0,38,0.46,0,0.46,0,31,0,0.37,1
G-STATS,0.00,5,0,,0,5,1,,1,0,0.19,5,0,5,0.19,0,0.19,0,5,0,0.19,1
PAGE-ARCHITECTURE,0.00,1,0,,0,1,1,,1,0,0.21,1,0,1,0.21,0,0.21,0,1,0,0.21,1
BLOG-MATCH,0.00,2,0,,0,2,1,,1,0,0.06,2,0,2,0.06,0,0.06,0,2,0,0.06,1
PAGE-TALKERS,0.00,1,0,,0,1,1,,1,0,0.11,1,0,1,0.11,0,0.11,0,1,0,0.11,1
PAGE-WHY,0.00,2,0,,0,2,1,,1,0,0.03,2,0,2,0.03,0,0.03,0,2,0,0.03,1
PAGE-NEWS,0.00,1,0,,0,1,1,,1,0,0.04,1,0,1,0.04,0,0.04,0,1,0,0.04,1
