# ----------------------------------------
# Istantanea report
# Account: Default Account for Firebase
# Proprietà: rugbyradioliveweb
# ----------------------------------------
#  
# Data di inizio: 20260501
# Data di fine: 20260531
Utenti attivi,Nuovi utenti,Durata media del coinvolgimento per utente attivo,Conteggio eventi
177,172,37.824858757062145,2895

#  
# Data di inizio: 20260501
# Data di fine: 20260531
Titolo pagina e classe schermata,Visualizzazioni,Utenti attivi,Conteggio eventi,Frequenza di rimbalzo
Rugby Radio Live,550,91,1014,0.17687074829931973
Rugby Radio Live - Free Live Rugby Commentary for Clubs,290,85,682,0.2
Partita | Rugby Radio Live,43,3,245,0.041666666666666664
RRL in numeri | Rugby Radio Live,37,3,110,0
Radio | Rugby Radio Live,36,8,105,0.05263157894736842
Matches | Rugby Radio Live,32,18,93,0.05263157894736842
RRL by the numbers | Rugby Radio Live,30,2,70,0
Your Radios | Rugby Radio Live,22,1,60,0
Radios | Rugby Radio Live,21,5,61,0
Login | Rugby Radio Live,17,10,51,0
Architecture | How Rugby Radio Live Works,12,6,41,0.3333333333333333
Match | Rugby Radio Live,11,4,74,0
Partite | Rugby Radio Live,11,5,35,0
Profilo | Rugby Radio Live,10,2,25,0
Live Rugby Matches | Rugby Radio Live,6,7,22,0
News | Rugby Radio Live,6,2,18,0
AI-Talkers | Rugby Radio Live,5,2,15,0
Bookmarks | Rugby Radio Live,5,1,12,0
Le tue Radio | Rugby Radio Live,5,1,15,0
Rugby Channels | Rugby Radio Live,5,6,19,0
Rugby Radio Live — Blog,5,1,14,0
Why RRL | Rugby Radio Live,5,2,15,0
AI-Talkers | AI Rugby Commentators by Rugby Radio Live,3,2,8,0
Connexion | Rugby Radio Live,3,2,6,0
Register | Rugby Radio Live,3,1,6,0
Team | Rugby Radio Live,3,1,7,0
Tutorial | Rugby Radio Live,3,2,9,0
Ironwood Hammers - Sovereign Stormhawks,2,1,4,0
Profile | Rugby Radio Live,2,2,4,0
I Serpenti di Nebbia Argentea - I Cigni di Ferro,1,1,2,0
Le Farfalle di Legno vs I Cigni di Ferro 0-5 | Rugby Radio Live,1,1,6,0
Le Vortici di Ferro - I Draghi di Ghiaccio,1,1,2,0
Les Serpents de la Brume - Les Carabins de Feu,1,1,2,0
Melodia di Ghiaccio Rugby Channel | Rugby Radio Live,1,1,2,0
Phantom Crimson Goliaths vs Sovereign Stormhawks 7-12 | Rugby Radio Live,1,1,6,0
Rugby Match Reports — AI,1,1,2,0
"Rugby Radio Live Stats | Matches, Clubs and Commentary",1,2,6,0
Sovereign Stormhawk Pulse Rugby Channel | Rugby Radio Live,1,1,2,0
Sovereign Stormhawks vs Arcane Ironclaw 14-22 | Rugby Radio Live,1,1,6,0
Squadra | Rugby Radio Live,1,1,4,0
Storm Radio (2024) Rugby Channel | Rugby Radio Live,1,1,2,0
Terms and Conditions | Rugby Radio Live,1,1,5,1
Arcane Ironclaw vs Sovereign Stormhawks 12-34 | Rugby Radio Live,0,1,3,0
Matchs | Rugby Radio Live,0,1,3,0
Rugby Radio en direct,0,1,2,0

#  
# Data di inizio: 20260501
# Data di fine: 20260531
Sorgente/Mezzo della prima interazione dell'utente,Utenti attivi
(direct) / (none),102
google / organic,68
bing / organic,2
facebook.com / referral,1
m.facebook.com / referral,1
nz.search.yahoo.com / referral,1
statics.teams.cdn.office.net / referral,1
yahoo / organic,1

#  
# Data di inizio: 20260501
# Data di fine: 20260531
Categoria del dispositivo,Utenti attivi
desktop,103
mobile,72
tablet,4
smart tv,1

#  
# Data di inizio: 20260501
# Data di fine: 20260531
Paese,Utenti attivi
Singapore,51
United Kingdom,35
United States,23
Italy,13
France,9
Ireland,7
Spain,6
China,5
Canada,4
South Africa,4
Netherlands,3
Australia,2
Germany,2
Japan,2
Sweden,2
Dominican Republic,1
Fiji,1
Finland,1
Greece,1
Montenegro,1
New Zealand,1
Papua New Guinea,1
Poland,1
Thailand,1

#  
# Data di inizio: 20260501
# Data di fine: 20260531
Città,Utenti attivi
Singapore,51
London,10
Gorgonzola,6
Ashburn,5
Des Moines,5
Dublin,5
Flint Hill,4
Lainate,4
Milan,4
Amsterdam,3
Bath,3
Magenta,3
Parabiago,3
Paris,3
Rho,3
Trieste,3
Norwich,2
Padua,2
Plymouth,2
Toronto,2
Belfast,1
Biala Podlaska,1
Birmingham,1
Boksburg,1
Bordeaux,1
Brisbane,1
Cape Town,1
Caravaca de la Cruz,1
Cardiff,1
Carlisle,1
Castelldefels,1
Chengdu,1
Chiyoda City,1
Eccles,1
Edinburgh,1
Edmonton,1
Forest City,1
Gallarate,1
Garbagnate Milanese,1
Glasgow,1
Granada,1
Grimaud,1
Hampshire,1
Helsinki,1
Johannesburg South,1
Killarney,1
Kingston upon Hull,1
Larne,1
Liverpool,1
Londolovit,1
Lucan,1
Lulea,1
Manchester,1
Melbourne,1
Mississauga,1
Northampton,1
Novara,1
Pattaya City,1
Phoenix,1
Pretoria,1
Punta Cana,1
Qingdao,1
Redhill,1
Reston,1
Sollentuna,1
St Albans,1
St Helens,1
Staines-upon-Thames,1
Suva,1
Toulouse,1
Turin,1
Valencia,1
Wellington,1
West Clandon,1

#  
# Data di inizio: 20260501
# Data di fine: 20260531
Modello dispositivo,Utenti attivi
iPhone,24
SM-A546B,3
M2102J20SG,2
iPad,2
23021RAA2Y,1
65A67GEVS,1
G42 5G,1
Moto G05,1
Moto G35 5G,1
Moto G56 5G,1
Moto G9 Play,1
Pixel 10 Pro,1
Pixel 6,1
Pixel 7a,1
Pixel 9,1
Pixel 9 Pro,1
Razr 50 Ultra,1
SCV48,1
SM-A042F,1
SM-A057F,1
SM-A065F,1
SM-A125F,1
SM-A217F,1
SM-A266B,1
SM-A346E,1
SM-A366B,1
SM-A536E,1
SM-F731B,1
SM-G398FN,1
SM-G780F,1
SM-G955F,1
SM-G970F,1
SM-G990B2,1
SM-S721B,1
SM-S731B,1
SM-S911B,1
SM-S938B,1
SM-S938U,1
SM-S938W,1
SM-X200,1
SM-X210,1
X36,1

#  
# Data di inizio: 20260501
# Data di fine: 20260531
Sistema operativo,Utenti attivi
Windows,92
Android,50
iOS,26
Macintosh,9
Linux,3

#  
# Data di inizio: 20260501
# Data di fine: 20260531
Browser,Utenti attivi
Chrome,140
Safari,26
Samsung Internet,6
Edge,4
Firefox,3
Android Webview,1

#  
# Data di inizio: 20260501
# Data di fine: 20260531
Risoluzione schermo,Utenti attivi
1280x1200,55
1920x1080,28
384x832,12
390x844,9
360x780,6
412x915,6
1280x720,5
1536x864,4
1536x960,3
320x693,3
339x753,3
393x873,3
820x1180,3
320x712,2
375x667,2
375x812,2
393x852,2
430x932,2
800x600,2
1280x800,1
1280x832,1
1366x768,1
1470x956,1
1728x1117,1
2000x2000,1
339x603,1
353x784,1
360x760,1
360x800,1
360x880,1
376x844,1
384x854,1
385x854,1
390x664,1
412x1006,1
412x846,1
412x917,1
412x919,1
412x922,1
414x736,1
414x896,1
427x952,1
432x960,1
440x956,1
768x1024,1
800x1280,1
810x1080,1
834x1194,1

#  
# Data di inizio: 20260501
# Data di fine: 20260531
Lingua,Utenti attivi
English,149
Italian,13
French,8
Japanese,2
Spanish,2
German,1
Polish,1
Swedish,1
