# ----------------------------------------
# Istantanea report
# Account: Default Account for Firebase
# Proprietà: rugbyradioliveweb
# ----------------------------------------
#  
# Data di inizio: 20260601
# Data di fine: 20260630
Utenti attivi,Nuovi utenti,Durata media del coinvolgimento per utente attivo,Conteggio eventi
192,185,37.4375,2737

#  
# Data di inizio: 20260601
# Data di fine: 20260630
Titolo pagina e classe schermata,Visualizzazioni,Utenti attivi,Conteggio eventi,Frequenza di rimbalzo
Rugby Radio Live - Free Live Rugby Commentary for Clubs,581,171,1289,0.24017467248908297
Meet the Team Behind Rugby Radio Live,39,5,160,0.15384615384615385
Live Rugby Matches | Rugby Radio Live,29,24,87,0
Partita | Rugby Radio Live,26,3,161,0
炎舞龍剣団 vs 夜風の鉄魂団 5-26 | Rugby Radio Live,21,3,148,0.16666666666666666
Meet Stefano | Rugby Radio Live,20,5,84,0.16666666666666666
Meet Vox | Rugby Radio Live AI-Talker,15,2,64,0.375
Login | Rugby Radio Live,13,10,34,0
Rugby Channels | Rugby Radio Live,13,7,35,0
Meet Nitro | Rugby Radio Live AI-Talker,12,2,48,0.25
Rugby Radio Live — Blog,10,2,24,0.3333333333333333
Meet Stacker | Rugby Radio Live AI-Dev,9,3,36,0.25
Meet Beat Breaker | Rugby Radio Live AI-Talker,7,3,28,0.25
Meet Zoe | Rugby Radio Live AI-Talker,7,3,30,0.16666666666666666
Meet Zorblax | Rugby Radio Live AI-Talker,7,3,29,0.4
Rugby Radio Live - Commentaires de rugby en direct et gratuits pour les clubs,7,3,14,0
Meet Analysta | Rugby Radio Live AI-Dev,6,2,25,0.5
Boomerang Brawlers vs Didgeridoo Dreadnoughts 17-10 | Rugby Radio Live,5,3,62,0
Match | Rugby Radio Live,5,3,14,0
夜風の鉄魂団 vs 星影の闘牛団 0-12 | Rugby Radio Live,5,4,34,0
I Cavalieri del Crepuscolo vs Tridenti di Tempesta 21-12 | Rugby Radio Live,4,3,73,0
Meet Brushy | Rugby Radio Live AI-Talker,4,2,18,0.25
Meet Elixir | Rugby Radio Live AI-Talker,4,2,18,0.25
Meet Maul | Rugby Radio Live AI-Talker,4,2,17,0.3333333333333333
Meet Orfeo | Rugby Radio Live AI-Talker,4,2,17,0.3333333333333333
Radio | Rugby Radio Live,4,1,8,0
AI-Talkers | AI Rugby Commentators by Rugby Radio Live,3,1,9,0.4
Meet Blueprint | Rugby Radio Live AI-Dev,3,3,14,0.3333333333333333
Meet Bulldog | Rugby Radio Live AI-Talker,3,2,12,0.5
Meet Newsly | Rugby Radio Live AI-Talker,3,2,12,0.5
Boomerang Brawlers vs Spinifex Stormchasers 12-26 | Rugby Radio Live,2,1,12,0
Connexion | Rugby Radio Live,2,2,4,0
How To Use Rugby Radio Live | Account and Match Help,2,1,5,0
Meet El Mangiapolenta | Rugby Radio Live AI-Talker,2,1,8,0
Meet Trasteverino | Rugby Radio Live AI-Talker,2,1,8,0
Register | Rugby Radio Live,2,1,4,0
Terms and Conditions | Rugby Radio Live,2,2,10,1
Blue Sharks vs Red Lions 0-0 | Rugby Radio Live,1,1,11,0.5
Le tue Radio | Rugby Radio Live,1,1,3,0
Les Carabins de Feu - Les Griffes d'Acier,1,1,2,0
Melodia di Ghiaccio Rugby Channel | Rugby Radio Live,1,1,2,0
Partite | Rugby Radio Live,1,1,2,0
Profilo | Rugby Radio Live,1,2,5,0
Rugby Match Reports — AI,1,1,2,0
Rugby Radio Live News | Product Updates and Changes,1,1,4,1
"Rugby Radio Live Stats | Matches, Clubs and Commentary",1,1,2,0
Rugby Radio Live Tutorial | Create Live Rugby Commentary,1,1,3,0
Rugby Ruck Outback FM Rugby Channel | Rugby Radio Live,1,1,2,0
Stellar Ironclad Vipers - Obsidian Quillbacks,1,1,3,1
Storm Radio (2024) Rugby Channel | Rugby Radio Live,1,1,2,0
Tempesta Arcana Note U8 Rugby Channel | Rugby Radio Live,1,1,3,0
Tempesta Arcana vs Città di Pietra Eterna 14-10 | Rugby Radio Live,1,1,6,0
Your Radios | Rugby Radio Live,1,1,3,0
Boomerang Brawlers vs Kangaroo Knights 15-12 | Rugby Radio Live,0,1,4,1
I Draghi di Ghiaccio vs I Scolpi di Fulmine 7-26 | Rugby Radio Live,0,1,5,0.5
I Lepri del Fulmine vs I Cavalieri del Crepuscolo 5-7 | Rugby Radio Live,0,1,10,0
Leoni di Ghiaccio vs I Cavalieri del Crepuscolo 12-15 | Rugby Radio Live,0,1,4,0
Wombat Warriors vs Boomerang Brawlers 0-21 | Rugby Radio Live,0,1,4,0

#  
# Data di inizio: 20260601
# Data di fine: 20260630
Sorgente/Mezzo della prima interazione dell'utente,Utenti attivi
(direct) / (none),128
google / organic,57
bing / organic,2
m.facebook.com / referral,2
antonyhome.com / referral,1
duckduckgo / organic,1
ig / social,1

#  
# Data di inizio: 20260601
# Data di fine: 20260630
Categoria del dispositivo,Utenti attivi
desktop,123
mobile,73
tablet,2

#  
# Data di inizio: 20260601
# Data di fine: 20260630
Paese,Utenti attivi
Singapore,76
United States,28
United Kingdom,13
Italy,10
South Africa,10
France,7
New Zealand,6
Spain,6
Ireland,5
Netherlands,5
China,4
Germany,3
Australia,2
Switzerland,2
United Arab Emirates,2
Austria,1
Cape Verde,1
Côte d’Ivoire,1
Denmark,1
Egypt,1
Greece,1
Hong Kong,1
India,1
Luxembourg,1
Norway,1
Poland,1
Portugal,1
Sweden,1

#  
# Data di inizio: 20260601
# Data di fine: 20260630
Città,Utenti attivi
Singapore,75
Council Bluffs,12
Ashburn,7
Milan,7
Arese,4
Dublin,3
Paris,3
Pretoria,3
Trieste,3
Amsterdam,2
Auckland,2
Bath,2
Bordeaux,2
Cape Town,2
Como,2
Dallas,2
Germiston,2
London,2
Zurich,2
6th of October City,1
Abidjan,1
Aspen,1
Barrow-in-Furness,1
Benafim,1
Bergen Municipality,1
Bowral - Mittagong,1
Buna,1
Centurion,1
Christchurch,1
Crawley,1
Dubai,1
Dundalk,1
Eatonville,1
Eden,1
Fobbing,1
Hamilton,1
Hilversum,1
Hong Kong,1
Huddersfield,1
Junee,1
Kilkenny,1
Lampertheim,1
Leven,1
Lulea,1
Luoyang,1
Luxembourg,1
Mackay,1
Madrid,1
Manchester,1
Melbourne,1
Montoir-de-Bretagne,1
Naaldwijk,1
New York,1
Newcastle,1
Novara,1
Oberursel,1
Oldham,1
Plymouth,1
Pocahontas,1
Portsmouth,1
Praia,1
Prineville,1
Rotterdam,1
Rustenburg,1
Saint-Nolff,1
Sandton,1
Santa Ponca,1
Shanghai,1
Sharjah,1
Sheffield,1
Shenzhen,1
Sydney,1
Taree,1
Tauranga,1
Videbaek,1
Vienna,1
Warsaw,1
Wellington,1
Young,1

#  
# Data di inizio: 20260601
# Data di fine: 20260630
Modello dispositivo,Utenti attivi
iPhone,29
M2102J20SG,2
iPhone 15,2
21051182G,1
23028RN4DG,1
24116RACCG,1
24117RN76G,1
CPH2727,1
LLD-L31,1
M2101K6G,1
MGA-LX9,1
Moto G56 5G,1
PPA-LX2,1
Pixel 6a,1
Pixel 7,1
Pixel 7 Pro,1
Pixel 7a,1
SM-A055F,1
SM-A057F,1
SM-A125F,1
SM-A135F,1
SM-A155F,1
SM-A236B,1
SM-A315G,1
SM-A346E,1
SM-A356E,1
SM-F766B,1
SM-J260F,1
SM-N960F,1
SM-S711B,1
SM-S901B,1
SM-S901E,1
SM-S921B,1
T513V,1
iPad,1
iPhone 12,1

#  
# Data di inizio: 20260601
# Data di fine: 20260630
Sistema operativo,Utenti attivi
Windows,101
Android,42
iOS,33
Linux,15
Macintosh,7

#  
# Data di inizio: 20260601
# Data di fine: 20260630
Browser,Utenti attivi
Chrome,156
Safari,29
Samsung Internet,5
Android Webview,3
Edge,2

#  
# Data di inizio: 20260601
# Data di fine: 20260630
Risoluzione schermo,Utenti attivi
1280x1200,78
800x600,16
1280x720,10
390x844,8
1920x1080,5
360x780,5
440x956,5
1536x960,4
393x852,4
320x712,3
360x800,3
375x667,3
384x854,3
393x873,3
402x874,3
412x915,3
1334x800,2
1440x900,2
320x693,2
320x694,2
384x832,2
384x857,2
412x892,2
414x896,2
430x932,2
768x1024,2
1024x1366,1
1366x768,1
1536x864,1
1600x900,1
1680x1050,1
339x735,1
339x753,1
353x784,1
360x640,1
360x720,1
360x802,1
360x840,1
375x812,1
376x835,1
385x854,1
412x846,1
430x739,1
680x1087,1
820x1180,1
834x1112,1
876x1400,1

#  
# Data di inizio: 20260601
# Data di fine: 20260630
Lingua,Utenti attivi
English,171
Italian,11
French,7
Catalan,1
German,1
Spanish,1
