Paese,Clic,Impressioni,CTR,Posizione
Regno Unito,53,3048,1.74%,9.86
Francia,33,573,5.76%,17.7
Spagna,28,378,7.41%,6.7
Italia,27,292,9.25%,6.14
Irlanda,23,548,4.2%,8.23
Stati Uniti,16,1286,1.24%,8.26
Canada,16,154,10.39%,6.11
Germania,14,115,12.17%,6.28
Australia,10,173,5.78%,7.55
Sudafrica,7,227,3.08%,11.59
Austria,5,38,13.16%,5.76
Belgio,4,59,6.78%,13.15
Marocco,4,36,11.11%,8.94
Norvegia,4,19,21.05%,7.84
Cipro,4,17,23.53%,6.53
Lussemburgo,4,11,36.36%,4.82
Nuova Zelanda,3,166,1.81%,12.98
Paesi Bassi,3,63,4.76%,5.97
Portogallo,3,50,6%,7.8
Svizzera,3,35,8.57%,6.97
Malta,3,27,11.11%,5.59
Tailandia,3,27,11.11%,6.59
India,2,109,1.83%,11.57
Brasile,2,75,2.67%,6.03
Filippine,2,41,4.88%,16.61
Egitto,2,37,5.41%,9.46
Svezia,2,28,7.14%,6.21
Romania,2,10,20%,4.3
Vietnam,1,65,1.54%,15.26
Giappone,1,32,3.12%,6.66
Turchia,1,25,4%,8
Colombia,1,18,5.56%,14.39
Emirati Arabi Uniti,1,16,6.25%,5.94
Hong Kong,1,14,7.14%,5
Venezuela,1,14,7.14%,9.57
Danimarca,1,10,10%,6.6
Singapore,1,9,11.11%,4
Namibia,1,9,11.11%,7
Repubblica Dominicana,1,9,11.11%,11.33
Islanda,1,8,12.5%,3.38
Capo Verde,1,8,12.5%,7.75
Nigeria,1,8,12.5%,16.88
Uruguay,1,6,16.67%,16.83
Georgia,1,4,25%,4
Jersey,1,4,25%,4
Gibilterra,1,3,33.33%,5
Isole Vergini britanniche,1,2,50%,5
Giamaica,1,1,100%,2
Indonesia,0,43,0%,11.63
Messico,0,40,0%,11.4
Argentina,0,36,0%,12.97
Polonia,0,21,0%,10.62
Corea del Sud,0,18,0%,7.89
Bangladesh,0,18,0%,14.56
Cile,0,17,0%,7.47
Algeria,0,15,0%,11.4
Zimbabwe,0,13,0%,4.15
Lituania,0,11,0%,5
Papua Nuova Guinea,0,10,0%,7
Sri Lanka,0,9,0%,6.33
Grecia,0,9,0%,6.89
Kenya,0,9,0%,8.33
Pakistan,0,9,0%,11.11
Perù,0,9,0%,11.44
Slovenia,0,8,0%,5
Uganda,0,8,0%,9.5
Malaysia,0,7,0%,4.57
Barbados,0,7,0%,5.57
Mauritius,0,7,0%,6
Ucraina,0,7,0%,6.14
Qatar,0,7,0%,6.29
Ecuador,0,7,0%,11.29
Gambia,0,6,0%,6.17
Oman,0,6,0%,11.83
Iraq,0,6,0%,16.5
Tunisia,0,5,0%,8
Maldive,0,4,0%,4.25
Ungheria,0,4,0%,6
Bulgaria,0,4,0%,7
Senegal,0,4,0%,7.25
Gabon,0,4,0%,20
Andorra,0,3,0%,4
Finlandia,0,3,0%,5.33
Madagascar,0,3,0%,5.33
Figi,0,3,0%,6
Cina,0,3,0%,6.67
Croazia,0,3,0%,6.67
Kuwait,0,3,0%,7
Slovacchia,0,3,0%,7
Nepal,0,3,0%,7.67
Botswana,0,3,0%,8
Polinesia Francese,0,3,0%,8
Repubblica Ceca,0,3,0%,8.33
Taiwan,0,3,0%,8.33
Isole Cayman,0,3,0%,9
Israele,0,3,0%,10
Isola di Man,0,3,0%,11
Honduras,0,3,0%,13.67
Palestina,0,3,0%,13.67
Arabia Saudita,0,3,0%,13.67
Angola,0,3,0%,19.33
Etiopia,0,3,0%,19.67
Paraguay,0,3,0%,21.67
Bolivia,0,2,0%,4.5
Russia,0,2,0%,4.5
Costa Rica,0,2,0%,5.5
Afghanistan,0,2,0%,7.5
Curaçao,0,2,0%,7.5
Mongolia,0,2,0%,8
Portorico,0,2,0%,8
Uzbekistan,0,2,0%,8
Trinidad e Tobago,0,2,0%,8.5
Cambogia,0,2,0%,12.5
Albania,0,2,0%,13.5
Samoa,0,2,0%,18
Kazakistan,0,2,0%,23
Antigua e Barbuda,0,1,0%,1
Repubblica Democratica del Congo,0,1,0%,1
Sint Maarten,0,1,0%,1
Tonga,0,1,0%,1
Isole Cook,0,1,0%,2
Giordania,0,1,0%,2
Nicaragua,0,1,0%,3
Nuova Caledonia,0,1,0%,4
Riunione,0,1,0%,4
Serbia,0,1,0%,4
Brunei,0,1,0%,5
Benin,0,1,0%,6
Gibuti,0,1,0%,6
Bosnia ed Erzegovina,0,1,0%,7
Guernsey,0,1,0%,7
Guadalupa,0,1,0%,7
Guiana,0,1,0%,7
Lettonia,0,1,0%,7
Aruba,0,1,0%,8
Belize,0,1,0%,8
Ghana,0,1,0%,8
Guinea Equatoriale,0,1,0%,8
Mali,0,1,0%,8
Siria,0,1,0%,8
Isole Turks e Caicos,0,1,0%,8
Burkina Faso,0,1,0%,9
Bermuda,0,1,0%,10
Swaziland,0,1,0%,10
Montenegro,0,1,0%,11
Costa d'Avorio,0,1,0%,12
Azerbaigian,0,1,0%,13
Kosovo,0,1,0%,14
Haiti,0,1,0%,17
Kirghizistan,0,1,0%,22
Guatemala,0,1,0%,25
