Data,Non indicizzate,Indicizzate,Impressioni
2026-02-11,,,17
2026-02-12,,,17
2026-02-13,,,58
2026-02-14,44,131,664
2026-02-15,48,127,254
2026-02-16,48,127,84
2026-02-17,48,127,4
2026-02-18,64,112,7
2026-02-19,64,112,8
2026-02-20,64,112,11
2026-02-21,64,112,71
2026-02-22,77,103,132
2026-02-23,77,103,21
2026-02-24,77,103,46
2026-02-25,87,93,13
2026-02-26,87,93,21
2026-02-27,87,93,25
2026-02-28,87,93,43
2026-03-01,87,93,19
2026-03-02,87,93,14
2026-03-03,87,93,25
2026-03-04,88,94,20
2026-03-05,88,94,33
2026-03-06,88,94,405
2026-03-07,88,94,419
2026-03-08,97,85,31
2026-03-09,97,85,19
2026-03-10,97,85,4
2026-03-11,107,77,4
2026-03-12,107,77,20
2026-03-13,107,77,26
2026-03-14,107,77,502
2026-03-15,107,77,68
2026-03-16,111,74,30
2026-03-17,111,74,38
2026-03-18,118,72,37
2026-03-19,118,72,94
2026-03-20,118,72,94
2026-03-21,118,72,98
2026-03-22,132,70,61
2026-03-23,132,70,33
2026-03-24,132,70,49
2026-03-25,117,92,33
2026-03-26,117,92,45
2026-03-27,117,92,62
2026-03-28,117,92,89
2026-03-29,127,97,52
2026-03-30,127,97,35
2026-03-31,127,97,56
2026-04-01,113,139,49
2026-04-02,113,139,35
2026-04-03,113,139,48
2026-04-04,113,139,64
2026-04-05,116,154,75
2026-04-06,116,154,42
2026-04-07,113,164,42
2026-04-08,113,164,53
2026-04-09,113,164,80
2026-04-10,113,164,88
2026-04-11,113,167,145
2026-04-12,113,167,131
2026-04-13,113,167,73
2026-04-14,119,171,39
2026-04-15,119,171,34
2026-04-16,119,171,53
2026-04-17,119,171,68
2026-04-18,120,170,107
2026-04-19,120,170,64
2026-04-20,120,170,61
2026-04-21,126,164,24
2026-04-22,126,164,76
2026-04-23,126,164,35
2026-04-24,126,164,101
2026-04-25,129,162,175
2026-04-26,129,162,57
2026-04-27,129,162,35
2026-04-28,134,165,36
2026-04-29,134,165,17
2026-04-30,134,165,28
2026-05-01,134,165,71
2026-05-02,140,165,254
2026-05-03,140,165,145
2026-05-04,140,165,34
2026-05-05,141,183,40
2026-05-06,141,183,37
2026-05-07,141,183,34
2026-05-08,141,183,91
