Data,Clic,Impressioni,CTR,Posizione
2026-06-01,0,33,0%,9.1
2026-06-02,1,38,2.63%,15.2
2026-06-03,0,39,0%,12.1
2026-06-04,0,44,0%,10.4
2026-06-05,2,95,2.11%,7.3
2026-06-06,24,219,10.96%,7.6
2026-06-07,3,71,4.23%,9.4
2026-06-08,0,34,0%,12.8
2026-06-09,0,28,0%,11.8
2026-06-10,0,18,0%,17
2026-06-11,0,59,0%,9.7
2026-06-12,7,133,5.26%,7.8
2026-06-13,7,205,3.41%,11
2026-06-14,1,83,1.2%,11.2
2026-06-15,0,76,0%,17.8
2026-06-16,0,63,0%,17.8
2026-06-17,0,112,0%,15.6
2026-06-18,0,56,0%,13.2
2026-06-19,5,180,2.78%,9.1
2026-06-20,27,481,5.61%,8.9
2026-06-21,0,77,0%,15
2026-06-22,0,60,0%,15.1
2026-06-23,0,49,0%,12.5
2026-06-24,0,39,0%,12.5
2026-06-25,0,52,0%,11.1
2026-06-26,0,64,0%,9.9
2026-06-27,2,112,1.79%,8.8
2026-06-28,0,31,0%,10.6
2026-06-29,0,50,0%,9.2
2026-06-30,0,40,0%,15.7
