Data,Clic,Impressioni,CTR,Posizione
2026-01-01,0,17,0%,11.2
2026-01-02,2,40,5%,10.4
2026-01-03,3,69,4.35%,10.5
2026-01-04,0,18,0%,20.8
2026-01-05,0,23,0%,9.6
2026-01-06,0,13,0%,9.5
2026-01-07,0,14,0%,26.3
2026-01-08,0,21,0%,7.9
2026-01-09,0,46,0%,16.9
2026-01-10,2,73,2.74%,11.6
2026-01-11,4,74,5.41%,13.3
2026-01-12,1,21,4.76%,17.6
2026-01-13,0,31,0%,14
2026-01-14,1,36,2.78%,15.6
2026-01-15,0,31,0%,11.6
2026-01-16,2,26,7.69%,12.9
2026-01-17,2,81,2.47%,9.9
2026-01-18,8,113,7.08%,12.6
2026-01-19,2,31,6.45%,14.3
2026-01-20,0,18,0%,16.4
2026-01-21,0,58,0%,18
2026-01-22,0,32,0%,13.4
2026-01-23,0,31,0%,17.3
2026-01-24,1,108,0.93%,11.3
2026-01-25,1,44,2.27%,12.8
2026-01-26,0,17,0%,17.6
2026-01-27,0,25,0%,11.9
2026-01-28,0,14,0%,19.6
2026-01-29,1,24,4.17%,15.4
2026-01-30,0,47,0%,13.9
2026-01-31,1,92,1.09%,12.4
2026-02-01,0,59,0%,12.2
2026-02-02,0,18,0%,8.8
2026-02-03,1,17,5.88%,11.5
2026-02-04,0,8,0%,14.8
2026-02-05,14,280,5%,7.2
2026-02-06,2,76,2.63%,8.7
2026-02-07,36,668,5.39%,7.9
2026-02-08,1,31,3.23%,8
2026-02-09,0,19,0%,7.9
2026-02-10,0,12,0%,13.1
2026-02-11,0,17,0%,13.6
2026-02-12,0,17,0%,9.4
2026-02-13,3,58,5.17%,8.1
2026-02-14,38,664,5.72%,7.5
2026-02-15,9,254,3.54%,7.8
2026-02-16,0,84,0%,8.8
2026-02-17,0,4,0%,11
2026-02-18,0,7,0%,10.3
2026-02-19,0,8,0%,12.5
2026-02-20,0,11,0%,14.3
2026-02-21,9,71,12.68%,6.6
2026-02-22,7,132,5.3%,7.2
2026-02-23,0,21,0%,7.4
2026-02-24,0,46,0%,12.3
2026-02-25,0,13,0%,10.5
2026-02-26,0,21,0%,10.5
2026-02-27,0,25,0%,8
2026-02-28,1,43,2.33%,11.3
2026-03-01,0,19,0%,7.9
2026-03-02,1,14,7.14%,9.4
2026-03-03,0,25,0%,21.7
2026-03-04,0,20,0%,22.9
2026-03-05,1,33,3.03%,12.2
2026-03-06,12,405,2.96%,6.8
2026-03-07,35,419,8.35%,7.7
2026-03-08,2,31,6.45%,13.7
2026-03-09,0,19,0%,5.7
2026-03-10,0,4,0%,2.2
2026-03-11,0,4,0%,5.2
2026-03-12,1,20,5%,17.9
2026-03-13,0,26,0%,8.9
2026-03-14,46,502,9.16%,7
2026-03-15,1,68,1.47%,9.7
2026-03-16,0,30,0%,10.7
2026-03-17,0,38,0%,10.4
2026-03-18,0,37,0%,10.6
2026-03-19,2,94,2.13%,10.3
2026-03-20,0,94,0%,13.3
2026-03-21,3,98,3.06%,10.6
2026-03-22,3,61,4.92%,11.2
2026-03-23,0,33,0%,14.3
2026-03-24,0,49,0%,11
2026-03-25,1,33,3.03%,12.1
2026-03-26,2,45,4.44%,9.4
2026-03-27,5,62,8.06%,8
2026-03-28,1,89,1.12%,7.3
2026-03-29,0,52,0%,7.8
2026-03-30,0,35,0%,7.5
2026-03-31,0,56,0%,7.6
2026-04-01,0,49,0%,9.5
2026-04-02,0,35,0%,6.9
2026-04-03,1,48,2.08%,8
2026-04-04,3,64,4.69%,9.9
2026-04-05,6,75,8%,10.3
2026-04-06,0,42,0%,7.3
2026-04-07,0,42,0%,7.5
2026-04-08,0,53,0%,10.4
2026-04-09,0,80,0%,8.5
2026-04-10,3,88,3.41%,8.6
2026-04-11,4,145,2.76%,9.1
2026-04-12,4,131,3.05%,9.2
2026-04-13,0,73,0%,12.5
2026-04-14,0,39,0%,10.4
2026-04-15,1,34,2.94%,11.6
2026-04-16,0,53,0%,9.9
2026-04-17,1,68,1.47%,9.4
2026-04-18,0,107,0%,12.6
2026-04-19,0,64,0%,9.8
2026-04-20,0,61,0%,12.7
2026-04-21,0,24,0%,10.9
2026-04-22,1,76,1.32%,15.6
2026-04-23,2,35,5.71%,9.9
2026-04-24,3,101,2.97%,8.4
2026-04-25,4,175,2.29%,8.1
2026-04-26,0,57,0%,11.5
2026-04-27,0,35,0%,15.1
2026-04-28,0,36,0%,19.8
2026-04-29,0,17,0%,18.9
2026-04-30,1,28,3.57%,13.9
